"","V1","V2"
"1",2,125108.543808266
"2",2,120267.30270315
"3",2,127492.745925798
"4",2,127875.008414582
"5",2,128338.086930963
"6",2,133246.560531037
"7",2,128903.816130967
"8",2,139298.993520879
"9",2,130723.139191668
"10",2,125373.171912031
"11",2,132465.131955283
"12",2,128048.457803656
"13",2,141178.739733809
"14",2,120521.505523768
"15",2,134014.811153912
"16",2,136574.364405573
"17",2,126291.564568373
"18",2,126541.910951804
"19",2,128741.867146366
"20",2,120636.382803373
"21",2,129659.189197908
"22",2,132399.990228938
"23",2,123964.55407438
"24",2,125383.064671645
"25",2,128585.053637128
"26",2,137663.426722628
"27",2,126475.2811146
"28",2,123145.474816081
"29",2,138140.515574636
"30",2,121971.053692667
"31",5,121825.2003728
"32",5,118225.676736462
"33",5,122144.896899243
"34",5,121070.187299357
"35",5,116418.30415088
"36",5,128715.13094454
"37",5,124580.631937276
"38",5,128564.867261743
"39",5,121170.647542803
"40",5,117989.447100032
"41",5,122081.948280264
"42",5,124455.673702289
"43",5,122326.763025519
"44",5,119135.850553291
"45",5,121291.455503743
"46",5,122028.833522446
"47",5,123369.231200589
"48",5,117787.630243599
"49",5,119583.53402988
"50",5,117323.42335877
"51",5,115905.848992694
"52",5,123330.195719931
"53",5,126141.268200718
"54",5,117721.056665557
"55",5,121947.508074292
"56",5,121917.890920678
"57",5,121037.809610543
"58",5,122677.271533867
"59",5,123079.297342475
"60",5,122646.263638423
"61",10,122060.623109792
"62",10,121481.086112676
"63",10,118964.643543419
"64",10,117360.041463238
"65",10,123592.478464911
"66",10,117683.101285045
"67",10,120173.613688158
"68",10,117924.771799748
"69",10,120090.618696579
"70",10,123471.884943223
"71",10,117465.545165773
"72",10,121455.939857082
"73",10,118088.12349471
"74",10,125144.553193936
"75",10,119782.736301605
"76",10,119494.515058445
"77",10,119797.042900489
"78",10,117173.779951412
"79",10,118100.466684385
"80",10,124084.576580686
"81",10,125799.056102709
"82",10,120333.257243696
"83",10,117431.272901334
"84",10,120110.949671742
"85",10,113689.428684739
"86",10,123172.662245563
"87",10,120321.936124193
"88",10,117043.010142721
"89",10,120631.795014401
"90",10,122419.300492271
